architecture,activation,optimizer,sequence_length,stability,final_accuracy,final_f1,final_loss,avg_epoch_time
rnn,tanh,sgd,25,grad_clip,0.52668,0.5257467599213421,0.6913995955467224,2.9391989707946777
rnn,tanh,sgd,50,grad_clip,0.51776,0.51733252187973,0.6908007118797302,5.501726865768433
rnn,tanh,sgd,100,grad_clip,0.52064,0.5202420695821943,0.6921385962677002,11.139059066772461
rnn,tanh,sgd,25,,0.53228,0.5318552923799633,0.6895965851593018,2.686133623123169
rnn,tanh,sgd,50,,0.51396,0.5138349186700113,0.6912003689575196,5.290026903152466
rnn,tanh,sgd,100,,0.51628,0.5162089338016054,0.6916024743270874,10.978556871414185
rnn,relu,adam,25,grad_clip,0.71092,0.710917257645473,0.4960018755340576,3.3377180099487305
rnn,sigmoid,adam,25,grad_clip,0.66708,0.6644074152911696,0.5624697527885437,3.399620771408081
rnn,tanh,adam,25,grad_clip,0.68116,0.6796770837661537,0.550467695941925,3.538655996322632
rnn,relu,adam,25,,0.70848,0.7082499590605198,0.4934998145675659,3.1261491775512695
rnn,sigmoid,adam,25,,0.65996,0.6562736470569677,0.5767173055934905,3.1643970012664795
rnn,tanh,adam,25,,0.67044,0.6674437324119249,0.5704927541828155,3.3423895835876465
rnn,tanh,rmsprop,50,grad_clip,0.497,0.4967129983728593,0.7136947986984253,5.903282165527344
rnn,relu,rmsprop,50,grad_clip,0.49896,0.33287079041468753,49.896,5.4842917919158936
rnn,sigmoid,rmsprop,50,grad_clip,0.6452,0.6376015777854915,0.5855790830993652,5.626785039901733
rnn,tanh,rmsprop,50,,0.49856,0.49855979461009187,0.7078172274780273,5.68815803527832
rnn,relu,rmsprop,50,,0.49896,0.33287079041468753,49.896,5.28929591178894
rnn,sigmoid,rmsprop,50,,0.62956,0.6248098106602407,0.578770203666687,5.375791788101196
lstm,tanh,adam,25,grad_clip,0.72504,0.7250396040570298,0.3764823940086365,7.366633176803589
lstm,tanh,adam,50,grad_clip,0.76848,0.7681966896231721,0.33940949704170226,13.671463966369629
lstm,tanh,adam,100,grad_clip,0.80952,0.8095164451197054,0.3551833375883102,26.983330011367798
lstm,tanh,adam,25,,0.72276,0.7227572315646115,0.378240707025528,7.149975061416626
lstm,tanh,adam,50,,0.74952,0.7495109823953663,0.4333859317398071,13.417860746383667
lstm,tanh,adam,100,,0.78452,0.7845196245469939,0.4011302325630188,26.673275232315063
lstm,relu,sgd,25,grad_clip,0.49936,0.3361468542789347,0.6931520238304139,6.093038082122803
lstm,sigmoid,sgd,25,grad_clip,0.50052,0.33653186431566445,0.6933543679809571,6.162028074264526
lstm,relu,sgd,25,,0.49752,0.3543645621688397,0.693210634880066,5.8248419761657715
lstm,sigmoid,sgd,25,,0.50104,0.3337952353035229,0.693340253868103,5.891819000244141
lstm,tanh,rmsprop,50,grad_clip,0.76524,0.7650346888148645,0.3663218206501007,13.634536981582642
lstm,relu,rmsprop,50,grad_clip,0.49896,0.33287079041468753,49.896,12.575769186019897
lstm,tanh,rmsprop,50,,0.76252,0.762094720903736,0.33881629477500913,13.089402914047241
lstm,relu,rmsprop,50,,0.50104,0.3337952353035229,50.104,12.341446876525879
bilstm,tanh,adam,25,grad_clip,0.71656,0.7165599111131882,0.3191119516372681,482.5402171611786
bilstm,tanh,adam,50,grad_clip,0.7648,0.7647642953601841,0.269385310997963,28.317365169525146
bilstm,tanh,adam,100,grad_clip,0.81588,0.8158496399403985,0.2579451663017273,55.67278981208801
bilstm,tanh,adam,25,,0.7188,0.7186810826677064,0.3124817687606812,14.099838972091675
bilstm,tanh,adam,50,,0.76428,0.7642217348523619,0.2908459108352661,29.264380931854248
bilstm,tanh,adam,100,,0.827,0.8269714735481695,0.3013472828245163,56.06234908103943
bilstm,sigmoid,rmsprop,50,grad_clip,0.7616,0.7602032456777166,0.27749251531362534,26.191814184188843
bilstm,sigmoid,rmsprop,50,,0.75172,0.7478808403695781,0.26463287380218503,26.392710208892822
bilstm,tanh,sgd,25,grad_clip,0.52212,0.5201864905107507,0.6929896031761169,13.731178045272827
bilstm,tanh,sgd,50,grad_clip,0.52296,0.499975179046285,0.6927211348342895,26.777729988098145
bilstm,tanh,sgd,25,,0.50996,0.5081441776927766,0.6928929046440124,13.27968692779541
bilstm,tanh,sgd,50,,0.51984,0.5115236757296164,0.6928184498023987,26.447350025177002
